source,target,value,count,step
other0,1KQV2K26YyoZXzA16HqARLyXW9zMphndDf,5368739,1,1
other0,other1,2279150,6,1
other0,3FWDaoQnNY2UckG4NwYyLGV13cLnxiY1zf,3000000,1,1
other0,18aKuePy2PzfYeqjQ3yBcSMrSKwfBtDAzK,958983,1,1
other0,1Ht2qGmkHmr2PA5BHXjraZzj91FQEwz8oV,137085827,1,1
other0,1GMry7fywgNh3LyD6W1cheHqpxsCfKb3df,123980000,1,1
other0,bc1q0cvjt5fnkma8xqasasvnee3yk7pz9n8wlh7dxd,122200000,1,1
other0,other1,230342162,14,1
38YpZybc5suY1Up6amr2SbVbG9xrNchUdN,115A3ktuBLAw7GpdDJLp2Pg9J32Cz2xonB,1938506165,16,1
other0,33BtwyMrG8QFAqZKzp4QkQQZvSnRDhmQKX,8430850,1,1
other0,1G81gye4UX2VKGFGzup4qa8CzoRx2qTsRY,6133970,1,1
other0,other1,8088301,9,1
other0,3MDzAV5dzwS1SE8JnvAvrM89s5FAxDmzmp,55878888,1,1
other0,bc1qyy30guv6m5ez7ntj0ayr08u23w3k5s8vg3elmxdzlh8a3xskupyqn2lp5w,1846297278,1,1
other0,19GQTpmzC3BGVWshXCsqwUnCG8N5PBeffF,900000,1,1
other0,38rXtdbrt92JWb3Q7rWiajnwqpBsx6GUJS,834600,1,1
other0,35Jz3fyJAjmBU8EZpVrLYgcvGZH7VsDvnA,100000,1,1
other0,other1,547,1,1
other0,33R8xUCWEres2LdoGK3wJHJcYmzoGx1QZN,750000,1,1
other0,1Dv3ACnvmzMJuLWf1w6eXxCTTTDWAwGowV,90000000,1,1
other0,3CmVwTMAWARR1x52eC34gmEC8gREEpm2qf,23843000,1,1
other0,other1,29663682,23,1
12YF9FRnMshzEKQxwaHSdDE1zRh3rb9SLz,1EGuNh3nBiFz4JQdob4brN292K3kzCbXvn,14722782204,1,1
12YF9FRnMshzEKQxwaHSdDE1zRh3rb9SLz,19goNCqBpLnVHjhuocNz6iE63pdVPvKiRL,14609398052,1,1
12YF9FRnMshzEKQxwaHSdDE1zRh3rb9SLz,1QEXSCRK2PqvKMSc9vLT7Rv31YmbU5VYbV,10622565278,1,1
12YF9FRnMshzEKQxwaHSdDE1zRh3rb9SLz,other1,28568787248,18,1
other0,1EzaQ4viGZ7iZFQHPiFVfqiQpWJKUpWQmm,51443959,1,1
other0,bc1qdut8u3d7srwa03w0ysapfwp8h30xepvlsgdkdy,40000000,1,1
other0,39kFV3SGnErnaGrYcaoFkVE2RzkF4x8h4a,30000000,1,1
other0,bc1qzjeg3h996kw24zrg69nge97fw8jc4v7v7yznftzk06j3429t52vse9tkp9,13434000,1,1
other0,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,3927088404,1,1
other0,1L6qkv56VSG7cDBSD8cd4hfsxTLkXU9SMB,226184878,1,1
other0,3MCvKGYUyBmpDjoKNfZHuNzmBStSKU7XTp,212959371,1,1
other0,other1,105201752,20,1
other0,1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,17749301,6,1
other0,39M1gG2M2QQy6NcjQ5C5Z93ywDYdgcGVen,1307975,1,1
other0,13f2dZWaAVhXds7oXNaAeoeFQFp9E9RnbS,84083,1,1
