source,target,value,count,step
1GrgX7YWKkzTGMXQt9XywJa6LXWHgwDo8o,147cM2CDFDxQNRp9gjHzYnLKomPyj61QCT,18535999,1,1
1GrgX7YWKkzTGMXQt9XywJa6LXWHgwDo8o,16HUQ8JL9NMaW6hiC2Rc4RWhLQ4PoGkrPq,13785525,1,1
1GrgX7YWKkzTGMXQt9XywJa6LXWHgwDo8o,1tZzvS9nufFtv131pLUXwUhMzUMfzvAFw,10549000,1,1
1GrgX7YWKkzTGMXQt9XywJa6LXWHgwDo8o,other1,20621033,7,1
1EEqRvnS7XqMoXDcaGL7bLS3hzZi1qUZm1,3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,18000000000,9,1
14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr,14zoKDyZJFXdWr78YuTbrXo6H2m2o5ikh7,114098000,1,1
14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr,19aHpnTDnh8qs3rBWtfvBgkaTVxgXj1GTJ,103985000,1,1
14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr,bc1qcsymgd0s80l5hpu2nqkddzngzy8svyxwj2ct49,99985000,1,1
14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr,other1,418836473,45,1
other0,16XNN3hB38PyTrLaTzYSJBWSiKD5PUYzXG,2500000000,1,1
other0,37WpigBAcTsuGFUQQ9w1zudzn272dxQ548,170600200,1,1
other0,352eZbNECFuk9zcQEzx2LQCDd7X2BEijLi,7360860,1,1
other0,1CSzxmbWcYorsepxftSi7yW6sRHjDews1f,6950000,1,1
other0,other1,10668238,8,1
other0,16DZqoFeAhXUbYTNqxaoYQhZdquepYWjMS,374538,1,1
35Y8c57XcGpbyfSTyn26Tfn8Fbxj469J1S,3MJqWqx6txK3KJFX31fqngYmXVmeVoQu7g,14000950000,1,1
other0,bc1q63e53wlamxc2hjlruy6p3yqtd70vzyuv68dnwx,412854432,1,1
other0,bc1qlr6lkhl8q8pryn4hgg926yhmfpm4wyp76wmgrc,334576588,1,1
other0,other1,375556755,21,1
3N5s48jie5dsdwYJdzhQAqnhTFF1pVEkRT,32esBCRbbNy6g9Y49C8EAaVqgpny9MgdEg,46010000,1,1
3N5s48jie5dsdwYJdzhQAqnhTFF1pVEkRT,39pZy4VjUsQ6UTVfTSUuBbQXwaj6bvAkyx,30672037,21,1
3N5s48jie5dsdwYJdzhQAqnhTFF1pVEkRT,3FP5Nn2JDThLavdecLLniCFaiPSykJwjsU,24038493,6,1
3N5s48jie5dsdwYJdzhQAqnhTFF1pVEkRT,other1,58676817,18,1
17PpCEuQUT7xxP1ocfhvFdwQyrB5dG1dQP,19AtrEvJv7UY75tvWkXMxLUAYibxpZhFfN,6600000000,33,1
other0,other1,111657109,21,1
115E3baxJZsJHeTay1jvUh3nSTHBJhkskc,14quvdxXj7h4kcfhhuKX39wRc6X5sodkjM,1095984851,6,1
other0,other1,111657109,21,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3H6YtdvRc38ntzZWX5d9RbUMdP3sSc8BMz,39899980522,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3Avc1EsHziH1wmM4zMp7nn1AaVCxRN7H1u,6299980522,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,other1,765032439,96,1
other0,bc1qj2n0rvtjnjt934md9gnndjgpglvgxzdn2ygced,2600980,1,1
other0,1KYjfZBdr1sagKSomQXjppfntfe2TcAisZ,1745754,1,1
other0,14eias7cXTuwayVuN4WdSdnKSABNe4h2uA,865693,1,1
other0,other1,1500456,7,1
other0,3DsEzyhpu32kggJJk7HizCE5am9FPFimRV,1657631,1,1
other0,1MmPJ6LBw3mZyw5egRJxN6nYKYEnUARuRx,50000000,1,1
other0,17ruV7qqHE4tytZaVeCkQ5WXoBqfRXfo4M,12863975,1,1
other0,other1,33974281,34,1
